Date,Open,High,Low,Close,Volume,Adj Close
2014-10-09,3700.00,3714.00,3625.90,3646.80,3108200,1743.188
2014-10-08,3785.00,3792.00,3641.00,3650.14,5081900,1744.785
2014-10-07,3769.30,3892.94,3769.30,3831.30,5015800,1831.38
2014-10-06,3847.30,3847.30,3847.30,3847.30,000,1839.028
2014-10-03,3847.30,3847.30,3847.30,3847.30,000,1839.028
2014-10-02,3847.30,3847.30,3847.30,3847.30,000,1839.028
2014-10-01,3722.00,3859.94,3722.00,3847.30,2367700,1839.028
2014-09-30,3744.20,3756.30,3701.10,3747.76,1731800,1791.448
2014-09-29,3701.00,3760.94,3681.10,3749.06,1249000,1792.069
2014-09-26,3685.00,3720.24,3660.50,3680.14,2216200,1759.125
2014-09-25,3650.00,3718.80,3646.00,3691.00,6243800,1764.316
2014-09-24,3630.00,3672.24,3598.24,3644.80,1391100,1742.232
2014-09-23,3645.00,3683.44,3595.56,3607.10,3240500,1724.211
2014-09-22,3680.00,3682.76,3632.00,3650.60,2153000,1745.005
2014-09-19,3699.00,3787.90,3681.30,3702.06,3688700,1769.603
2014-09-18,3673.94,3729.70,3654.44,3697.00,2276100,1767.184
2014-09-17,3679.90,3748.10,3671.10,3741.06,1981500,1788.245
2014-09-16,3646.00,3690.50,3623.60,3651.24,1258700,1745.311
2014-09-15,3665.00,3668.00,3627.30,3641.30,1239700,1740.559
2014-09-12,3688.00,3708.00,3650.00,3669.90,976800,1754.23
2014-09-11,3674.00,3699.70,3630.60,3684.14,1253200,1761.037
2014-09-10,3708.00,3708.00,3660.00,3667.30,1270100,1752.987
2014-09-09,3748.00,3755.44,3720.00,3736.06,1079200,1785.855
2014-09-08,3732.70,3790.50,3732.70,3781.64,1629300,1807.642
2014-09-05,3732.00,3795.00,3705.36,3730.76,1617000,1783.321
2014-09-04,3725.00,3725.00,3697.86,3708.76,1559600,1772.805
2014-09-03,3610.00,3746.40,3610.00,3734.24,2964300,1784.985
2014-09-02,3600.00,3625.00,3555.56,3613.76,895900,1727.395
2014-09-01,3610.06,3618.90,3585.00,3599.64,910700,1720.645
2014-08-29,3598.80,3598.80,3598.80,3598.80,000,1720.244
2014-08-28,3629.00,3633.64,3581.20,3598.80,1899800,1720.244
2014-08-27,3630.00,3650.00,3601.10,3630.56,1392400,1735.425
2014-08-26,3622.00,3640.00,3600.00,3624.14,1460500,1732.357
2014-08-25,3599.00,3635.70,3562.06,3627.80,1049500,1734.106
2014-08-22,3548.94,3608.00,3548.00,3601.00,1213700,1721.296
2014-08-21,3556.24,3563.40,3530.00,3548.94,1074700,1696.411
2014-08-20,3563.00,3582.50,3547.00,3554.56,984500,1699.097
2014-08-19,3561.00,3589.00,3530.00,3547.80,1606200,1695.866
2014-08-18,3612.00,3612.00,3550.00,3559.80,1694400,1701.602
2014-08-15,3612.56,3612.56,3612.56,3612.56,000,1726.821
2014-08-14,3608.00,3627.70,3586.60,3612.56,1690600,1726.821
2014-08-13,3560.06,3625.00,3550.76,3608.40,2235300,1724.833
2014-08-12,3599.00,3599.00,3541.00,3576.80,1479200,1709.728
